2026-06-13 01:04:28 | INFO | __main__ | Pipeline command started | command=weekend-policy-compare
2026-06-13 01:07:08 | INFO | src.backtest.backtest_engine | Execution progress | signal=225/650, trades=164, balance=11957.30
2026-06-13 01:07:12 | INFO | src.backtest.backtest_engine | Execution progress | signal=250/650, trades=184, balance=12213.67
2026-06-13 01:07:16 | INFO | src.backtest.backtest_engine | Execution progress | signal=275/650, trades=201, balance=12514.62
2026-06-13 01:07:20 | INFO | src.backtest.backtest_engine | Execution progress | signal=300/650, trades=218, balance=13125.69
2026-06-13 01:07:25 | INFO | src.backtest.backtest_engine | Execution progress | signal=325/650, trades=233, balance=13222.00
2026-06-13 01:07:30 | INFO | src.backtest.backtest_engine | Execution progress | signal=350/650, trades=249, balance=13380.21
2026-06-13 01:07:33 | INFO | src.backtest.backtest_engine | Execution progress | signal=375/650, trades=267, balance=13507.86
2026-06-13 01:07:39 | INFO | src.backtest.backtest_engine | Execution progress | signal=400/650, trades=281, balance=13711.17
2026-06-13 01:07:43 | INFO | src.backtest.backtest_engine | Execution progress | signal=425/650, trades=294, balance=13785.06
2026-06-13 01:07:47 | INFO | src.backtest.backtest_engine | Execution progress | signal=450/650, trades=315, balance=14083.78
2026-06-13 01:07:53 | INFO | src.backtest.backtest_engine | Execution progress | signal=475/650, trades=334, balance=14311.04
2026-06-13 01:07:58 | INFO | src.backtest.backtest_engine | Execution progress | signal=500/650, trades=352, balance=14749.16
2026-06-13 01:08:04 | INFO | src.backtest.backtest_engine | Execution progress | signal=525/650, trades=365, balance=15064.49
2026-06-13 01:08:08 | INFO | src.backtest.backtest_engine | Execution progress | signal=550/650, trades=385, balance=15061.78
2026-06-13 01:08:11 | INFO | src.backtest.backtest_engine | Execution progress | signal=575/650, trades=402, balance=15581.25
2026-06-13 01:08:13 | INFO | src.backtest.backtest_engine | Execution progress | signal=600/650, trades=420, balance=15824.65
2026-06-13 01:08:15 | INFO | src.backtest.backtest_engine | Execution progress | signal=625/650, trades=434, balance=15510.94
2026-06-13 01:08:18 | INFO | src.backtest.backtest_engine | Execution progress | signal=650/650, trades=450, balance=15862.80
2026-06-13 01:08:18 | INFO | src.backtest.backtest_engine | START write backtest reports | output=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/block_friday_after_17
2026-06-13 01:08:18 | INFO | src.backtest.backtest_engine | DONE write backtest reports | elapsed=0.9s
2026-06-13 01:08:18 | INFO | src.backtest.backtest_engine | Backtest complete | trades=450, ending_balance=15862.80, reports=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/weekend_policy_comparison/20260613_000428_usdjpy_fx_swing_trend_reclaim_v1/block_friday_after_17
2026-06-13 01:08:18 | INFO | src.backtest.weekend_policy_runner | DONE run weekend variant | elapsed=110.4s
