2026-06-14 11:02:33 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_10pct | iteration=3000/5000
2026-06-14 11:02:37 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_10pct | iteration=4000/5000
2026-06-14 11:02:46 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_20pct | iteration=1000/5000
2026-06-14 11:02:49 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_20pct | iteration=2000/5000
2026-06-14 11:02:53 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_20pct | iteration=3000/5000
2026-06-14 11:02:56 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_random_20pct | iteration=4000/5000
2026-06-14 11:03:03 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_20pct | iteration=1000/5000
2026-06-14 11:03:08 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_20pct | iteration=2000/5000
2026-06-14 11:03:13 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_20pct | iteration=3000/5000
2026-06-14 11:03:17 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_best_trades_20pct | iteration=4000/5000
2026-06-14 11:03:27 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_20pct | iteration=1000/5000
2026-06-14 11:03:31 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_20pct | iteration=2000/5000
2026-06-14 11:03:36 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_20pct | iteration=3000/5000
2026-06-14 11:03:41 | INFO | src.stress.monte_carlo_runner | Stress simulation progress | scenario=miss_worst_trades_20pct | iteration=4000/5000
2026-06-14 11:04:53 | INFO | src.stress.monte_carlo_runner | Monte Carlo stress report written | path=/Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/monte_carlo_stress/20260614_095908_usdjpy_fx_swing_trend_reclaim_v1_force_close_friday_20_30/stress_report.html
2026-06-14 11:04:53 | INFO | __main__ | Pipeline command completed | command=monte-carlo-stress
Monte Carlo stress report: /Users/my/mayu_solutions/usdjpy_research/fx-backtester/reports/monte_carlo_stress/20260614_095908_usdjpy_fx_swing_trend_reclaim_v1_force_close_friday_20_30/stress_report.html
